"SYS-TIME","ORDER-TIME","USER","ORDER COMMENTS","CUSTOMER NAME","ORDER ID","PRODUCT NAME","QUANTITY","UNIT","PRODUCT RATE","ORDER AMOUNT","SOURCE","APPROVED BY MANAGER: Y/N/R","MANAGER COMMENTS","ORDER DISPATCHED: Y/N","DISPATCH COMMENTS","DISPATCH TIME","order_line_id","order_created_at_iso","customer_code_snapshot","product_code_snapshot","product_group_snapshot","source_channel_norm","approval_status_norm","dispatch_status_norm","approval_at_iso","dispatch_at_iso","last_status_at_iso","promised_dispatch_date_iso","due_date_iso","invoice_no","invoice_date_iso","invoice_amount","cancelled_at_iso","cancel_reason_code"
"21/05/2025 10:40 AM","21/05/2025 10:39 AM","Manager","Reliance Digital Mumbai: Multiple electronics order. Blue Dart Express","Reliance Digital Mumbai","2025-2026_00074","Apple iPhone 17 Air","2","Unit","109500","219,000.00","WhatsApp","Y","Bulk display approved","Y","Blue Dart DO 876","21/05/2025 12:47 PM","2025-2026_00074_01_PSM001","2025-05-21T05:10:00.000Z","100101","PSM001","Smartphones","WhatsApp","approved_waiting_dispatch","dispatched","2025-05-21T05:10:00.000Z","2025-05-21T07:17:00.000Z","2025-05-21T07:17:00.000Z","","","","","","",""
"21/05/2025 10:40 AM","21/05/2025 10:39 AM","Manager","Reliance Digital Mumbai: Multiple electronics order. Blue Dart Express","Reliance Digital Mumbai","2025-2026_00074","Samsung Galaxy Watch 6","3","Unit","34999","104,997.00","WhatsApp","Y","Bulk display approved","Y","Blue Dart DO 876","21/05/2025 12:47 PM","2025-2026_00074_02_PSW001","2025-05-21T05:10:00.000Z","100101","PSW001","Smartwatches","WhatsApp","approved_waiting_dispatch","dispatched","2025-05-21T05:10:00.000Z","2025-05-21T07:17:00.000Z","2025-05-21T07:17:00.000Z","","","","","","",""
"21/05/2025 10:40 AM","21/05/2025 10:39 AM","Manager","Reliance Digital Mumbai: Multiple electronics order. Blue Dart Express","Reliance Digital Mumbai","2025-2026_00074","Sony WH-1000XM6 Headphones","1","Unit","29999","29,999.00","WhatsApp","Y","Bulk display approved","Y","Blue Dart DO 876","21/05/2025 12:47 PM","2025-2026_00074_03_PHD001","2025-05-21T05:10:00.000Z","100101","PHD001","Headphones","WhatsApp","approved_waiting_dispatch","dispatched","2025-05-21T05:10:00.000Z","2025-05-21T07:17:00.000Z","2025-05-21T07:17:00.000Z","","","","","","",""
"21/05/2025 11:15 AM","21/05/2025 11:14 AM","User","Croma Pune: Premium laptop and accessories combo","Croma Electronics Pune","2025-2026_00075","Dell XPS 13 Plus","1","Unit","139999","139,999.00","Phone ","Y","Premium combo, fast delivery","Y","Professional DO 543","21/05/2025 02:30 PM","2025-2026_00075_01_PLT001","2025-05-21T05:45:00.000Z","100102","PLT001","Laptops","Phone","approved_waiting_dispatch","dispatched","2025-05-21T05:45:00.000Z","2025-05-21T09:00:00.000Z","2025-05-21T09:00:00.000Z","","","","","","",""
"21/05/2025 11:15 AM","21/05/2025 11:14 AM","User","Croma Pune: Premium laptop and accessories combo","Croma Electronics Pune","2025-2026_00075","Logitech MX Master 3S","2","Unit","9999","19,998.00","Phone ","Y","Premium combo, fast delivery","Y","Professional DO 543","21/05/2025 02:30 PM","2025-2026_00075_02_PMC001","2025-05-21T05:45:00.000Z","100102","PMC001","Mice","Phone","approved_waiting_dispatch","dispatched","2025-05-21T05:45:00.000Z","2025-05-21T09:00:00.000Z","2025-05-21T09:00:00.000Z","","","","","","",""
"21/05/2025 11:15 AM","21/05/2025 11:14 AM","User","Croma Pune: Premium laptop and accessories combo","Croma Electronics Pune","2025-2026_00075","Keychron K8 Pro","1","Unit","8999","8,999.00","Phone ","Y","Premium combo, fast delivery","Y","Professional DO 543","21/05/2025 02:30 PM","2025-2026_00075_03_PKB001","2025-05-21T05:45:00.000Z","100102","PKB001","Keyboards","Phone","approved_waiting_dispatch","dispatched","2025-05-21T05:45:00.000Z","2025-05-21T09:00:00.000Z","2025-05-21T09:00:00.000Z","","","","","","",""
"21/05/2025 02:20 PM","21/05/2025 02:18 PM","Manager","Vijay Sales: Gaming setup complete package. DTDC Express","Vijay Sales Ahmedabad","2025-2026_00076","Asus ROG Zephyrus G14","1","Unit","154999","154,999.00","Email","Y","Gaming demo approved","N","Pending stock confirmation","-","2025-2026_00076_01_PLT004","2025-05-21T08:50:00.000Z","100103","PLT004","Laptops","Email","approved_waiting_dispatch","pending_dispatch","2025-05-21T08:50:00.000Z","","2025-05-21T08:50:00.000Z","","","","","","",""
"21/05/2025 02:20 PM","21/05/2025 02:18 PM","Manager","Vijay Sales: Gaming setup complete package. DTDC Express","Vijay Sales Ahmedabad","2025-2026_00076","Razer BlackWidow V4","1","Unit","14999","14,999.00","Email","Y","Gaming demo approved","N","Pending stock confirmation","-","2025-2026_00076_02_PKB002","2025-05-21T08:50:00.000Z","100103","PKB002","Keyboards","Email","approved_waiting_dispatch","pending_dispatch","2025-05-21T08:50:00.000Z","","2025-05-21T08:50:00.000Z","","","","","","",""
"21/05/2025 02:20 PM","21/05/2025 02:18 PM","Manager","Vijay Sales: Gaming setup complete package. DTDC Express","Vijay Sales Ahmedabad","2025-2026_00076","BenQ EX3501R Monitor","1","Unit","52999","52,999.00","Email","Y","Gaming demo approved","N","Pending stock confirmation","-","2025-2026_00076_03_PMN001","2025-05-21T08:50:00.000Z","100103","PMN001","Monitors","Email","approved_waiting_dispatch","pending_dispatch","2025-05-21T08:50:00.000Z","","2025-05-21T08:50:00.000Z","","","","","","",""
"22/05/2025 09:30 AM","22/05/2025 09:28 AM","User","Flipkart: Bulk smartphone order for sale event","Flipkart Sellers Pvt Ltd","2025-2026_00077","Samsung Galaxy S25 Edge","5","Unit","119999","599,995.00","Phone ","Y","Smartphone sale order","Y","Flipkart FBA 1234","22/05/2025 11:45 AM","2025-2026_00077_01_PSM002","2025-05-22T04:00:00.000Z","100104","PSM002","Smartphones","Phone","approved_waiting_dispatch","dispatched","2025-05-22T04:00:00.000Z","2025-05-22T06:15:00.000Z","2025-05-22T06:15:00.000Z","","","","","","",""
